       sl1_layer4_s3  |          region1_s3  |Region 1, Super Layer 1, layer 4, Sector 3  |                -2.5347*cm  -6.3807*cm  -4.9148*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s4  |          region1_s4  |Region 1, Super Layer 1, layer 4, Sector 4  |                -2.5347*cm  -6.3807*cm  -4.9148*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s5  |          region1_s5  |Region 1, Super Layer 1, layer 4, Sector 5  |                -2.5347*cm  -6.3807*cm  -4.9148*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s6  |          region1_s6  |Region 1, Super Layer 1, layer 4, Sector 6  |                -2.5347*cm  -6.3807*cm  -4.9148*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer5_s1  |          region1_s1  |Region 1, Super Layer 1, layer 5, Sector 1  |                -2.5683*cm  -5.7046*cm  -3.7562*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s2  |          region1_s2  |Region 1, Super Layer 1, layer 5, Sector 2  |                -2.5683*cm  -5.7046*cm  -3.7562*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s3  |          region1_s3  |Region 1, Super Layer 1, layer 5, Sector 3  |                -2.5683*cm  -5.7046*cm  -3.7562*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s4  |          region1_s4  |Region 1, Super Layer 1, layer 5, Sector 4  |                -2.5683*cm  -5.7046*cm  -3.7562*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s5  |          region1_s5  |Region 1, Super Layer 1, layer 5, Sector 5  |                -2.5683*cm  -5.7046*cm  -3.7562*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s6  |          region1_s6  |Region 1, Super Layer 1, layer 5, Sector 6  |                -2.5683*cm  -5.7046*cm  -3.7562*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg     75.5877*cm      8.6163*cm     87.2183*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 5 wire manual 1 
