lead_10_s1_view_1_stack_1  |               ec_s1  |Forward Calorimeter lead layer 10  |                      0*mm 1.49745*mm -130.0005*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1903.30215*mm 0.744912326236771*mm  1950.34650106202*mm  0*deg  1903.30215*mm 0.744912326236771*mm  1950.34650106202*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_10_s1_view_1_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 10  |                        0*mm 0.76995*mm -123.81*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1904.75715*mm 0.001*mm  1950.34650106202*mm  0*deg  1904.75715*mm 0.001*mm  1950.34650106202*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 1 strip manual 36 
lead_11_s1_view_2_stack_1  |               ec_s1  |Forward Calorimeter lead layer 11  |                        0*mm 0.856*mm -117.6195*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1909.2125*mm 0.00051196723452699*mm  1954.90951143319*mm  0*deg  1909.2125*mm 0.00051196723452699*mm  1954.90951143319*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_11_s1_view_2_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 11  |                        0*mm 0.8555*mm -111.429*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1909.2135*mm 0.001*mm  1954.90951143319*mm  0*deg  1909.2135*mm 0.001*mm  1954.90951143319*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 2 strip manual 36 
lead_12_s1_view_3_stack_1  |               ec_s1  |Forward Calorimeter lead layer 12  |                    0*mm 0.9410505*mm -105.2385*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1913.669849*mm 5.1196723452699e-07*mm  1959.47252180436*mm  0*deg  1913.669849*mm 5.1196723452699e-07*mm  1959.47252180436*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_12_s1_view_3_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 12  |                        0*mm 0.94105*mm -99.048*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1913.66985*mm 0.001*mm  1959.47252180436*mm  0*deg  1913.66985*mm 0.001*mm  1959.47252180436*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 3 strip manual 36 
lead_13_s1_view_1_stack_1  |               ec_s1  |Forward Calorimeter lead layer 13  |                        0*mm 1.7576*mm -92.8575*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1916.6642*mm 0.74849609687846*mm  1964.03553217553*mm  0*deg  1916.6642*mm 0.74849609687846*mm  1964.03553217553*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_13_s1_view_1_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 13  |                         0*mm 1.0266*mm -86.667*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1918.1262*mm 0.001*mm  1964.03553217553*mm  0*deg  1918.1262*mm 0.001*mm  1964.03553217553*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 1 strip manual 36 
lead_14_s1_view_2_stack_1  |               ec_s1  |Forward Calorimeter lead layer 14  |                     0*mm 1.1121505*mm -80.4765*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1922.582549*mm 5.1196723452699e-07*mm  1968.5985425467*mm  0*deg  1922.582549*mm 5.1196723452699e-07*mm  1968.5985425467*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_14_s1_view_2_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 14  |                        0*mm 1.11215*mm -74.286*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1922.58255*mm 0.001*mm  1968.5985425467*mm  0*deg  1922.58255*mm 0.001*mm  1968.5985425467*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 2 strip manual 36 
lead_15_s1_view_3_stack_1  |               ec_s1  |Forward Calorimeter lead layer 15  |                     0*mm 1.1977005*mm -68.0955*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1927.038899*mm 5.1196723452699e-07*mm  1973.16155291787*mm  0*deg  1927.038899*mm 5.1196723452699e-07*mm  1973.16155291787*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_15_s1_view_3_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 15  |                         0*mm 1.1977*mm -61.905*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1927.0389*mm 0.001*mm  1973.16155291787*mm  0*deg  1927.0389*mm 0.001*mm  1973.16155291787*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 3 strip manual 36 
lead_16_s1_view_1_stack_2  |               ec_s1  |Forward Calorimeter lead layer 16  |                       0*mm 1.78325*mm -55.7145*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1930.49525*mm 0.51196723452699*mm  1977.72456328904*mm  0*deg  1930.49525*mm 0.51196723452699*mm  1977.72456328904*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_16_s1_view_1_stack_2  |               ec_s1  |Forward Calorimeter scintillator layer 16  |                        0*mm 1.28325*mm -49.524*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1931.49525*mm 0.001*mm  1977.72456328904*mm  0*deg  1931.49525*mm 0.001*mm  1977.72456328904*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 2 view manual 1 strip manual 36 
lead_17_s1_view_2_stack_2  |               ec_s1  |Forward Calorimeter lead layer 17  |                     0*mm 1.3688005*mm -43.3335*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1935.951599*mm 5.1196723452699e-07*mm  1982.2875736602*mm  0*deg  1935.951599*mm 5.1196723452699e-07*mm  1982.2875736602*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_17_s1_view_2_stack_2  |               ec_s1  |Forward Calorimeter scintillator layer 17  |                         0*mm 1.3688*mm -37.143*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1935.9516*mm 0.001*mm  1982.2875736602*mm  0*deg  1935.9516*mm 0.001*mm  1982.2875736602*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 2 view manual 2 strip manual 36 
lead_18_s1_view_3_stack_2  |               ec_s1  |Forward Calorimeter lead layer 18  |                      0*mm 1.454355*mm -30.9525*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1940.40794*mm 5.1196723452699e-06*mm  1986.85058403137*mm  0*deg  1940.40794*mm 5.1196723452699e-06*mm  1986.85058403137*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
