             ec_s1 |       fc | 232.626345*cm 0.000000*cm 723.866183*cm | ordered: zxy 90.0*deg 25.0*deg 0.0*deg |   G4Trap | 26.7767*cm 0.0*rad 0.0*rad 204.35336*cm 1.0E-6*cm 209.32463509128354*cm 0.0*rad 204.35336*cm 1.0E-6*cm 209.32463509128354*cm 0.0*rad  | 
V_strip_2_19_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 0.492435*cm -4.735051*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 110.86759695083782*cm 105.03246030164448*cm -0.103625284124869*rad 4.73505*cm 110.86759695083782*cm 105.03246030164448*cm -0.103625284124869*rad  | 
V_strip_2_20_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 1.477304*cm -14.205151*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 116.70273360003117*cm 110.86759695083782*cm -0.103625284124869*rad 4.73505*cm 116.70273360003117*cm 110.86759695083782*cm -0.103625284124869*rad  | 
V_strip_2_21_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 2.462174*cm -23.675251*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 122.53787024922453*cm 116.70273360003117*cm -0.103625284124869*rad 4.73505*cm 122.53787024922453*cm 116.70273360003117*cm -0.103625284124869*rad  | 
V_strip_2_22_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 3.447044*cm -33.145351*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 128.37300689841786*cm 122.53787024922453*cm -0.103625284124869*rad 4.73505*cm 128.37300689841786*cm 122.53787024922453*cm -0.103625284124869*rad  | 
V_strip_2_23_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 4.431913*cm -42.615451*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 134.20814354761123*cm 128.37300689841786*cm -0.103625284124869*rad 4.73505*cm 134.20814354761123*cm 128.37300689841786*cm -0.103625284124869*rad  | 
V_strip_2_24_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 5.416783*cm -52.085551*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 140.04328019680457*cm 134.20814354761123*cm -0.103625284124869*rad 4.73505*cm 140.04328019680457*cm 134.20814354761123*cm -0.103625284124869*rad  | 
V_strip_2_25_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 6.401652*cm -61.555651*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 145.87841684599792*cm 140.04328019680457*cm -0.103625284124869*rad 4.73505*cm 145.87841684599792*cm 140.04328019680457*cm -0.103625284124869*rad  | 
V_strip_2_26_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 7.386522*cm -71.025751*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 151.71355349519126*cm 145.87841684599792*cm -0.103625284124869*rad 4.73505*cm 151.71355349519126*cm 145.87841684599792*cm -0.103625284124869*rad  | 
V_strip_2_27_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 8.371391*cm -80.495851*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 157.5486901443846*cm 151.71355349519126*cm -0.103625284124869*rad 4.73505*cm 157.5486901443846*cm 151.71355349519126*cm -0.103625284124869*rad  | 
V_strip_2_28_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 9.356261*cm -89.965951*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 163.38382679357795*cm 157.5486901443846*cm -0.103625284124869*rad 4.73505*cm 163.38382679357795*cm 157.5486901443846*cm -0.103625284124869*rad  | 
