             ec_s1 |       fc | 232.6263*cm 0*cm 723.8662*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 26.7767*cm 0*rad 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad  | 
V-scintillator_2_s1_view_2_stack_1 |    ec_s1 | -47.8796373*cm 93.4931*cm -19.5905*cm | 0*deg 180*deg 62.88*deg |   G4Trap | 0.5*cm 0*rad 0*rad 170.4618*cm 210.0649*cm 0.000001*cm -0.1036253*rad 170.4618*cm 210.0649*cm 0.000001*cm -0.1036253*rad  | 
V_strip_2_1_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -17.2352174*cm 165.7267*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 5.8351*cm 0.0000006*cm -0.1036253*rad 4.7351*cm 5.8351*cm 0.0000006*cm -0.1036253*rad  | 
V_strip_2_2_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -16.2503478*cm 156.2566*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 11.6703*cm 5.8351*cm -0.1036253*rad 4.7351*cm 11.6703*cm 5.8351*cm -0.1036253*rad  | 
V_strip_2_3_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -15.2654783*cm 146.7865*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 17.5054*cm 11.6703*cm -0.1036253*rad 4.7351*cm 17.5054*cm 11.6703*cm -0.1036253*rad  | 
V_strip_2_4_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -14.2806087*cm 137.3164*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 23.3405*cm 17.5054*cm -0.1036253*rad 4.7351*cm 23.3405*cm 17.5054*cm -0.1036253*rad  | 
V_strip_2_5_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -13.2957391*cm 127.8463*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 29.1757*cm 23.3405*cm -0.1036253*rad 4.7351*cm 29.1757*cm 23.3405*cm -0.1036253*rad  | 
V_strip_2_6_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -12.3108695*cm 118.3762*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 35.0108*cm 29.1757*cm -0.1036253*rad 4.7351*cm 35.0108*cm 29.1757*cm -0.1036253*rad  | 
V_strip_2_7_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -11.326*cm 108.9061*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 40.846*cm 35.0108*cm -0.1036253*rad 4.7351*cm 40.846*cm 35.0108*cm -0.1036253*rad  | 
V_strip_2_8_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -10.3411304*cm 99.436*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 46.6811*cm 40.846*cm -0.1036253*rad 4.7351*cm 46.6811*cm 40.846*cm -0.1036253*rad  | 
V_strip_2_9_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -9.3562608*cm 89.9659*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 52.5162*cm 46.6811*cm -0.1036253*rad 4.7351*cm 52.5162*cm 46.6811*cm -0.1036253*rad  | 
V_strip_2_10_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -8.3713913*cm 80.4958*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 58.3514*cm 52.5162*cm -0.1036253*rad 4.7351*cm 58.3514*cm 52.5162*cm -0.1036253*rad  | 
V_strip_2_11_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -7.3865217*cm 71.0257*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 64.1865*cm 58.3514*cm -0.1036253*rad 4.7351*cm 64.1865*cm 58.3514*cm -0.1036253*rad  | 
V_strip_2_12_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -6.4016521*cm 61.5556*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 70.0216*cm 64.1865*cm -0.1036253*rad 4.7351*cm 70.0216*cm 64.1865*cm -0.1036253*rad  | 
V_strip_2_13_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -5.4167825*cm 52.0855*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 75.8568*cm 70.0216*cm -0.1036253*rad 4.7351*cm 75.8568*cm 70.0216*cm -0.1036253*rad  | 
