panel1a_sector1_paddle_18  |         ftof_p1a_s1  |paddle 18 - Panel 1B - Sector 1  |              0.000000*cm 0.000000*cm 91.237920*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   148.4*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 18 side manual 0 
panel1a_sector1_paddle_19  |         ftof_p1a_s1  |paddle 19 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm 106.444240*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                  156.35*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 19 side manual 0 
panel1a_sector1_paddle_20  |         ftof_p1a_s1  |paddle 20 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm 121.650560*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                  164.25*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 20 side manual 0 
panel1a_sector1_paddle_21  |         ftof_p1a_s1  |paddle 21 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm 136.856880*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   172.2*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 21 side manual 0 
panel1a_sector1_paddle_22  |         ftof_p1a_s1  |paddle 22 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm 152.063200*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   180.1*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 22 side manual 0 
panel1a_sector1_paddle_23  |         ftof_p1a_s1  |paddle 23 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm 167.269520*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                  188.05*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 23 side manual 0 
panel1b_sector1_paddle_1  |         ftof_p1b_s1  |paddle 1 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -184.964200*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                      8.635*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 1 side manual 0 
panel1b_sector1_paddle_2  |         ftof_p1b_s1  |paddle 2 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -178.899800*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                      11.81*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 2 side manual 0 
panel1b_sector1_paddle_3  |         ftof_p1b_s1  |paddle 3 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -172.835400*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                      15.04*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 3 side manual 0 
panel1b_sector1_paddle_4  |         ftof_p1b_s1  |paddle 4 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -166.771000*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                     18.215*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 4 side manual 0 
