BMT_DriftCuGround_Z_Layer2_Segment01  |                 BMT  |DriftCuGround Z, Layer 2,  Segment 01  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -150*deg  |6666004   |                Tube  |164.385704*mm 164.386114*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuGround_Z_Layer2_Segment02  |                 BMT  |DriftCuGround Z, Layer 2,  Segment 02  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -270*deg  |6666004   |                Tube  |164.385704*mm 164.386114*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuGround_Z_Layer2_Segment03  |                 BMT  |DriftCuGround Z, Layer 2,  Segment 03  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -390*deg  |6666004   |                Tube  |164.385704*mm 164.386114*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_coverlay_Z_Layer3_Segment01  |                 BMT  |coverlay Z, Layer 3,  Segment 01  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -150*deg  |fff6004   |                Tube  |175.731*mm 175.781*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_coverlay_Z_Layer3_Segment02  |                 BMT  |coverlay Z, Layer 3,  Segment 02  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -270*deg  |fff6004   |                Tube  |175.731*mm 175.781*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_coverlay_Z_Layer3_Segment03  |                 BMT  |coverlay Z, Layer 3,  Segment 03  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -390*deg  |fff6004   |                Tube  |175.731*mm 175.781*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer3_Segment01  |                 BMT  |CuGround Z, Layer 3,  Segment 01  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -150*deg  |6666004   |                Tube  |175.781*mm 175.782584*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer3_Segment02  |                 BMT  |CuGround Z, Layer 3,  Segment 02  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -270*deg  |6666004   |                Tube  |175.781*mm 175.782584*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer3_Segment03  |                 BMT  |CuGround Z, Layer 3,  Segment 03  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -390*deg  |6666004   |                Tube  |175.781*mm 175.782584*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_Z_Layer3_Segment01  |                 BMT  |   PCB Z, Layer 3,  Segment 01  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -150*deg  |0000ff4   |                Tube  |175.782584*mm 175.882584*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
