               svt |     none|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
sensorPhysical3_m1_s17_r3 |      svt|   7.7343*cm  -9.2174*cm  13.7245*cm| ordered: zyx  -220.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s17_r3 |      svt|   7.9581*cm  -9.4841*cm  -8.6229*cm| ordered: zyx  -220.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s17_r3 |      svt|   7.9581*cm  -9.4841*cm   2.5508*cm| ordered: zyx  -220.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s17_r3 |      svt|   7.9581*cm  -9.4841*cm  13.7245*cm| ordered: zyx  -220.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s18_r3 |      svt|   4.1153*cm -11.3068*cm  -8.6229*cm| ordered: zyx  -200.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s18_r3 |      svt|   4.1153*cm -11.3068*cm   2.5508*cm| ordered: zyx  -200.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s18_r3 |      svt|   4.1153*cm -11.3068*cm  13.7245*cm| ordered: zyx  -200.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s18_r3 |      svt|   4.2344*cm -11.6340*cm  -8.6229*cm| ordered: zyx  -200.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s18_r3 |      svt|   4.2344*cm -11.6340*cm   2.5508*cm| ordered: zyx  -200.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s18_r3 |      svt|   4.2344*cm -11.6340*cm  13.7245*cm| ordered: zyx  -200.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s1_r4 |      svt|  -0.0000*cm -16.1204*cm  -2.8427*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s1_r4 |      svt|  -0.0000*cm -16.1204*cm   8.3309*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s1_r4 |      svt|  -0.0000*cm -16.1204*cm  19.5046*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s1_r4 |      svt|  -0.0000*cm -16.4686*cm  -2.8427*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s1_r4 |      svt|  -0.0000*cm -16.4686*cm   8.3309*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s1_r4 |      svt|  -0.0000*cm -16.4686*cm  19.5046*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s2_r4 |      svt|  -4.1723*cm -15.5711*cm  -2.8427*cm| ordered: zyx  -165.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s2_r4 |      svt|  -4.1723*cm -15.5711*cm   8.3309*cm| ordered: zyx  -165.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s2_r4 |      svt|  -4.1723*cm -15.5711*cm  19.5046*cm| ordered: zyx  -165.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s2_r4 |      svt|  -4.2624*cm -15.9074*cm  -2.8427*cm| ordered: zyx  -165.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s2_r4 |      svt|  -4.2624*cm -15.9074*cm   8.3309*cm| ordered: zyx  -165.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s2_r4 |      svt|  -4.2624*cm -15.9074*cm  19.5046*cm| ordered: zyx  -165.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s3_r4 |      svt|  -8.0602*cm -13.9607*cm  -2.8427*cm| ordered: zyx  -150.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s3_r4 |      svt|  -8.0602*cm -13.9607*cm   8.3309*cm| ordered: zyx  -150.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s3_r4 |      svt|  -8.0602*cm -13.9607*cm  19.5046*cm| ordered: zyx  -150.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s3_r4 |      svt|  -8.2343*cm -14.2622*cm  -2.8427*cm| ordered: zyx  -150.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s3_r4 |      svt|  -8.2343*cm -14.2622*cm   8.3309*cm| ordered: zyx  -150.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s3_r4 |      svt|  -8.2343*cm -14.2622*cm  19.5046*cm| ordered: zyx  -150.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s4_r4 |      svt| -11.3988*cm -11.3988*cm  -2.8427*cm| ordered: zyx  -135.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s4_r4 |      svt| -11.3988*cm -11.3988*cm   8.3309*cm| ordered: zyx  -135.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s4_r4 |      svt| -11.3988*cm -11.3988*cm  19.5046*cm| ordered: zyx  -135.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s4_r4 |      svt| -11.6451*cm -11.6451*cm  -2.8427*cm| ordered: zyx  -135.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s4_r4 |      svt| -11.6451*cm -11.6451*cm   8.3309*cm| ordered: zyx  -135.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s4_r4 |      svt| -11.6451*cm -11.6451*cm  19.5046*cm| ordered: zyx  -135.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s5_r4 |      svt| -13.9607*cm  -8.0602*cm  -2.8427*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s5_r4 |      svt| -13.9607*cm  -8.0602*cm   8.3309*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s5_r4 |      svt| -13.9607*cm  -8.0602*cm  19.5046*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s5_r4 |      svt| -14.2622*cm  -8.2343*cm  -2.8427*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s5_r4 |      svt| -14.2622*cm  -8.2343*cm   8.3309*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s5_r4 |      svt| -14.2622*cm  -8.2343*cm  19.5046*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s6_r4 |      svt| -15.5711*cm  -4.1723*cm  -2.8427*cm| ordered: zyx  -105.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s6_r4 |      svt| -15.5711*cm  -4.1723*cm   8.3309*cm| ordered: zyx  -105.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s6_r4 |      svt| -15.5711*cm  -4.1723*cm  19.5046*cm| ordered: zyx  -105.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s6_r4 |      svt| -15.9074*cm  -4.2624*cm  -2.8427*cm| ordered: zyx  -105.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s6_r4 |      svt| -15.9074*cm  -4.2624*cm   8.3309*cm| ordered: zyx  -105.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s6_r4 |      svt| -15.9074*cm  -4.2624*cm  19.5046*cm| ordered: zyx  -105.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s7_r4 |      svt| -16.1204*cm   0.0000*cm  -2.8427*cm| ordered: zyx  -90.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s7_r4 |      svt| -16.1204*cm   0.0000*cm   8.3309*cm| ordered: zyx  -90.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s7_r4 |      svt| -16.1204*cm   0.0000*cm  19.5046*cm| ordered: zyx  -90.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s7_r4 |      svt| -16.4686*cm   0.0000*cm  -2.8427*cm| ordered: zyx  -90.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s7_r4 |      svt| -16.4686*cm   0.0000*cm   8.3309*cm| ordered: zyx  -90.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s7_r4 |      svt| -16.4686*cm   0.0000*cm  19.5046*cm| ordered: zyx  -90.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s8_r4 |      svt| -15.5711*cm   4.1723*cm  -2.8427*cm| ordered: zyx  -75.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s8_r4 |      svt| -15.5711*cm   4.1723*cm   8.3309*cm| ordered: zyx  -75.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s8_r4 |      svt| -15.5711*cm   4.1723*cm  19.5046*cm| ordered: zyx  -75.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s8_r4 |      svt| -15.9074*cm   4.2624*cm  -2.8427*cm| ordered: zyx  -75.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s8_r4 |      svt| -15.9074*cm   4.2624*cm   8.3309*cm| ordered: zyx  -75.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s8_r4 |      svt| -15.9074*cm   4.2624*cm  19.5046*cm| ordered: zyx  -75.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s9_r4 |      svt| -13.9607*cm   8.0602*cm  -2.8427*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s9_r4 |      svt| -13.9607*cm   8.0602*cm   8.3309*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s9_r4 |      svt| -13.9607*cm   8.0602*cm  19.5046*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s9_r4 |      svt| -14.2622*cm   8.2343*cm  -2.8427*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s9_r4 |      svt| -14.2622*cm   8.2343*cm   8.3309*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s9_r4 |      svt| -14.2622*cm   8.2343*cm  19.5046*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s10_r4 |      svt| -11.3988*cm  11.3988*cm  -2.8427*cm| ordered: zyx  -45.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s10_r4 |      svt| -11.3988*cm  11.3988*cm   8.3309*cm| ordered: zyx  -45.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s10_r4 |      svt| -11.3988*cm  11.3988*cm  19.5046*cm| ordered: zyx  -45.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s10_r4 |      svt| -11.6451*cm  11.6451*cm  -2.8427*cm| ordered: zyx  -45.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s10_r4 |      svt| -11.6451*cm  11.6451*cm   8.3309*cm| ordered: zyx  -45.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s10_r4 |      svt| -11.6451*cm  11.6451*cm  19.5046*cm| ordered: zyx  -45.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s11_r4 |      svt|  -8.0602*cm  13.9607*cm  -2.8427*cm| ordered: zyx  -30.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s11_r4 |      svt|  -8.0602*cm  13.9607*cm   8.3309*cm| ordered: zyx  -30.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s11_r4 |      svt|  -8.0602*cm  13.9607*cm  19.5046*cm| ordered: zyx  -30.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s11_r4 |      svt|  -8.2343*cm  14.2622*cm  -2.8427*cm| ordered: zyx  -30.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s11_r4 |      svt|  -8.2343*cm  14.2622*cm   8.3309*cm| ordered: zyx  -30.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s11_r4 |      svt|  -8.2343*cm  14.2622*cm  19.5046*cm| ordered: zyx  -30.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s12_r4 |      svt|  -4.1723*cm  15.5711*cm  -2.8427*cm| ordered: zyx  -15.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s12_r4 |      svt|  -4.1723*cm  15.5711*cm   8.3309*cm| ordered: zyx  -15.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s12_r4 |      svt|  -4.1723*cm  15.5711*cm  19.5046*cm| ordered: zyx  -15.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s12_r4 |      svt|  -4.2624*cm  15.9074*cm  -2.8427*cm| ordered: zyx  -15.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s12_r4 |      svt|  -4.2624*cm  15.9074*cm   8.3309*cm| ordered: zyx  -15.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s12_r4 |      svt|  -4.2624*cm  15.9074*cm  19.5046*cm| ordered: zyx  -15.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s13_r4 |      svt|   0.0000*cm  16.1204*cm  -2.8427*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s13_r4 |      svt|   0.0000*cm  16.1204*cm   8.3309*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s13_r4 |      svt|   0.0000*cm  16.1204*cm  19.5046*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s13_r4 |      svt|   0.0000*cm  16.4686*cm  -2.8427*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s13_r4 |      svt|   0.0000*cm  16.4686*cm   8.3309*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s13_r4 |      svt|   0.0000*cm  16.4686*cm  19.5046*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s14_r4 |      svt|   4.1723*cm  15.5711*cm  -2.8427*cm| ordered: zyx  -345.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s14_r4 |      svt|   4.1723*cm  15.5711*cm   8.3309*cm| ordered: zyx  -345.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s14_r4 |      svt|   4.1723*cm  15.5711*cm  19.5046*cm| ordered: zyx  -345.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s14_r4 |      svt|   4.2624*cm  15.9074*cm  -2.8427*cm| ordered: zyx  -345.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s14_r4 |      svt|   4.2624*cm  15.9074*cm   8.3309*cm| ordered: zyx  -345.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s14_r4 |      svt|   4.2624*cm  15.9074*cm  19.5046*cm| ordered: zyx  -345.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s15_r4 |      svt|   8.0602*cm  13.9607*cm  -2.8427*cm| ordered: zyx  -330.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s15_r4 |      svt|   8.0602*cm  13.9607*cm   8.3309*cm| ordered: zyx  -330.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s15_r4 |      svt|   8.0602*cm  13.9607*cm  19.5046*cm| ordered: zyx  -330.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s15_r4 |      svt|   8.2343*cm  14.2622*cm  -2.8427*cm| ordered: zyx  -330.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s15_r4 |      svt|   8.2343*cm  14.2622*cm   8.3309*cm| ordered: zyx  -330.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s15_r4 |      svt|   8.2343*cm  14.2622*cm  19.5046*cm| ordered: zyx  -330.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s16_r4 |      svt|  11.3988*cm  11.3988*cm  -2.8427*cm| ordered: zyx  -315.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s16_r4 |      svt|  11.3988*cm  11.3988*cm   8.3309*cm| ordered: zyx  -315.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s16_r4 |      svt|  11.3988*cm  11.3988*cm  19.5046*cm| ordered: zyx  -315.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s16_r4 |      svt|  11.6451*cm  11.6451*cm  -2.8427*cm| ordered: zyx  -315.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s16_r4 |      svt|  11.6451*cm  11.6451*cm   8.3309*cm| ordered: zyx  -315.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s16_r4 |      svt|  11.6451*cm  11.6451*cm  19.5046*cm| ordered: zyx  -315.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s17_r4 |      svt|  13.9607*cm   8.0602*cm  -2.8427*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s17_r4 |      svt|  13.9607*cm   8.0602*cm   8.3309*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s17_r4 |      svt|  13.9607*cm   8.0602*cm  19.5046*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s17_r4 |      svt|  14.2622*cm   8.2343*cm  -2.8427*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s17_r4 |      svt|  14.2622*cm   8.2343*cm   8.3309*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s17_r4 |      svt|  14.2622*cm   8.2343*cm  19.5046*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s18_r4 |      svt|  15.5711*cm   4.1723*cm  -2.8427*cm| ordered: zyx  -285.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s18_r4 |      svt|  15.5711*cm   4.1723*cm   8.3309*cm| ordered: zyx  -285.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s18_r4 |      svt|  15.5711*cm   4.1723*cm  19.5046*cm| ordered: zyx  -285.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s18_r4 |      svt|  15.9074*cm   4.2624*cm  -2.8427*cm| ordered: zyx  -285.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s18_r4 |      svt|  15.9074*cm   4.2624*cm   8.3309*cm| ordered: zyx  -285.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s18_r4 |      svt|  15.9074*cm   4.2624*cm  19.5046*cm| ordered: zyx  -285.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s19_r4 |      svt|  16.1204*cm  -0.0000*cm  -2.8427*cm| ordered: zyx  -270.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s19_r4 |      svt|  16.1204*cm  -0.0000*cm   8.3309*cm| ordered: zyx  -270.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s19_r4 |      svt|  16.1204*cm  -0.0000*cm  19.5046*cm| ordered: zyx  -270.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s19_r4 |      svt|  16.4686*cm   0.0000*cm  -2.8427*cm| ordered: zyx  -270.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
