               mucal  |                root  |muon calorimeter mother volume  |                                             0 0 0  |                                   0 0 0  | a50021   |            Polycone  |0.0*deg 360*deg 2*counts 69.6707365417428*mm 69.6707365417428*mm 350.410161513775*mm 465.8802153517*mm 599.9*mm 800.1*mm  |              Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
        crystal_3_30  |               mucal  |    crystal volume (h:3, v:30)  |                        -305.5*mm 45.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 30 
        crystal_3_31  |               mucal  |    crystal volume (h:3, v:31)  |                        -305.5*mm 58.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 31 
        crystal_3_32  |               mucal  |    crystal volume (h:3, v:32)  |                        -305.5*mm 71.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 32 
        crystal_3_33  |               mucal  |    crystal volume (h:3, v:33)  |                        -305.5*mm 84.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 33 
        crystal_3_34  |               mucal  |    crystal volume (h:3, v:34)  |                        -305.5*mm 97.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 34 
        crystal_3_35  |               mucal  |    crystal volume (h:3, v:35)  |                       -305.5*mm 110.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 35 
        crystal_3_36  |               mucal  |    crystal volume (h:3, v:36)  |                       -305.5*mm 123.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 36 
        crystal_3_37  |               mucal  |    crystal volume (h:3, v:37)  |                       -305.5*mm 136.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 37 
        crystal_4_14  |               mucal  |    crystal volume (h:4, v:14)  |                      -292.5*mm -162.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 4 iv manual 14 
        crystal_4_15  |               mucal  |    crystal volume (h:4, v:15)  |                      -292.5*mm -149.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 4 iv manual 15 
        crystal_4_16  |               mucal  |    crystal volume (h:4, v:16)  |                      -292.5*mm -136.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 4 iv manual 16 
        crystal_4_17  |               mucal  |    crystal volume (h:4, v:17)  |                      -292.5*mm -123.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 4 iv manual 17 
        crystal_4_18  |               mucal  |    crystal volume (h:4, v:18)  |                      -292.5*mm -110.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 4 iv manual 18 
        crystal_4_19  |               mucal  |    crystal volume (h:4, v:19)  |                       -292.5*mm -97.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 4 iv manual 19 
        crystal_4_20  |               mucal  |    crystal volume (h:4, v:20)  |                       -292.5*mm -84.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 4 iv manual 20 
        crystal_4_21  |               mucal  |    crystal volume (h:4, v:21)  |                       -292.5*mm -71.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 4 iv manual 21 
