ECAL_16 | ECAL | ECAL Crystal (17,1) | 268.840365998*mm 27.3325*mm -70.0248366623*mm  | 0.0086702036561*rad -0.275364345259*rad -0.00235746204518*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 17 idy manual 1  
ECAL_17 | ECAL | ECAL Crystal (18,1) | 284.190706633*mm 27.3325*mm -70.3985251403*mm  | 0.00871249777193*rad -0.292053059193*rad -0.00250855144308*rad  | BBBBFF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 18 idy manual 1  
ECAL_18 | ECAL | ECAL Crystal (19,1) | 299.605550915*mm 27.3325*mm -70.7935492545*mm  | 0.0087576576129*rad -0.308741766769*rad -0.00266116479939*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 19 idy manual 1  
ECAL_19 | ECAL | ECAL Crystal (20,1) | 315.089249586*mm 27.3325*mm -71.2097989797*mm  | 0.00880575333766*rad -0.325430467531*rad -0.00281541163434*rad  | BBBBFF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 20 idy manual 1  
ECAL_20 | ECAL | ECAL Crystal (21,1) | 330.646273767*mm 27.3325*mm -71.6471583788*mm  | 0.00885686060957*rad -0.342119161004*rad -0.00297140566599*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 21 idy manual 1  
ECAL_21 | ECAL | ECAL Crystal (22,1) | 346.281224255*mm 27.3325*mm -72.105505635*mm  | 0.00891106090223*rad -0.358807846694*rad -0.00312926517341*rad  | BBBBFF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 22 idy manual 1  
ECAL_22 | ECAL | ECAL Crystal (23,1) | 361.998841347*mm 27.3325*mm -72.584713086*mm  | 0.00896844183449*rad -0.375496524087*rad -0.0032891133864*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 23 idy manual 1  
ECAL_23 | ECAL | ECAL Crystal (1,2) | 28.8010764445*mm 42.2319398378*mm -67.1474118372*mm  | 0.0250309596384*rad -0.00834438166317*rad -6.96250505332e-05*rad  | AAA7E5 | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 1 idy manual 2  
ECAL_24 | ECAL | ECAL Crystal (2,2) | 43.6429281857*mm 42.2315680939*mm -67.1696870772*mm  | 0.0250332841708*rad -0.0250331448277*rad -0.00020891394472*rad  | AAAAE0 | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 2 idy manual 2  
ECAL_25 | ECAL | ECAL Crystal (3,2) | 58.4898791666*mm 42.2308247095*mm -67.2142313529*mm  | 0.0250379364749*rad -0.0417219075063*rad -0.000348319304764*rad  | AAA7E5 | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 3 idy manual 2  
ECAL_26 | ECAL | ECAL Crystal (4,2) | 73.3453378329*mm 42.2297098918*mm -67.2810322576*mm  | 0.0250449230404*rad -0.0584106693739*rad -0.000487919063291*rad  | AAAAE0 | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 4 idy manual 2  
ECAL_27 | ECAL | ECAL Crystal (5,2) | 88.2127260907*mm 42.2282239512*mm -67.3700711853*mm  | 0.0250542536293*rad -0.0750994301036*rad -0.000627791587452*rad  | AAA7E5 | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 5 idy manual 2  
