           RICH_s4 |       fc | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Photocathode_MAPMT_0_5 | MAPMT_0_5 | 0*cm 0*cm -1.195*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005*cm  | 
  Socket_MAPMT_0_5 | MAPMT_0_5 | 0*cm 0*cm 1.215*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_1_0 |  RICH_s4 | -48.8563843*cm 15.9*cm 692.858482*cm | ordered: yzx 0*deg -90*deg 25*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_1_0 | MAPMT_1_0 | 2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_1_0 | MAPMT_1_0 | -2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_1_0 | MAPMT_1_0 | 0*cm 2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_1_0 | MAPMT_1_0 | 0*cm -2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_1_0 | MAPMT_1_0 | 0*cm 0*cm -1.275*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.075*cm  | 
Photocathode_MAPMT_1_0 | MAPMT_1_0 | 0*cm 0*cm -1.195*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005*cm  | 
  Socket_MAPMT_1_0 | MAPMT_1_0 | 0*cm 0*cm 1.215*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_1_1 |  RICH_s4 | -48.8563843*cm 10.6*cm 692.858482*cm | ordered: yzx 0*deg -90*deg 25*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_1_1 | MAPMT_1_1 | 2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_1_1 | MAPMT_1_1 | -2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_1_1 | MAPMT_1_1 | 0*cm 2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_1_1 | MAPMT_1_1 | 0*cm -2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_1_1 | MAPMT_1_1 | 0*cm 0*cm -1.275*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.075*cm  | 
Photocathode_MAPMT_1_1 | MAPMT_1_1 | 0*cm 0*cm -1.195*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005*cm  | 
  Socket_MAPMT_1_1 | MAPMT_1_1 | 0*cm 0*cm 1.215*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_1_2 |  RICH_s4 | -48.8563843*cm 5.3*cm 692.858482*cm | ordered: yzx 0*deg -90*deg 25*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_1_2 | MAPMT_1_2 | 2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_1_2 | MAPMT_1_2 | -2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_1_2 | MAPMT_1_2 | 0*cm 2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_1_2 | MAPMT_1_2 | 0*cm -2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_1_2 | MAPMT_1_2 | 0*cm 0*cm -1.275*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.075*cm  | 
Photocathode_MAPMT_1_2 | MAPMT_1_2 | 0*cm 0*cm -1.195*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005*cm  | 
  Socket_MAPMT_1_2 | MAPMT_1_2 | 0*cm 0*cm 1.215*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_1_3 |  RICH_s4 | -48.8563843*cm 0*cm 692.858482*cm | ordered: yzx 0*deg -90*deg 25*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_1_3 | MAPMT_1_3 | 2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_1_3 | MAPMT_1_3 | -2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_1_3 | MAPMT_1_3 | 0*cm 2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_1_3 | MAPMT_1_3 | 0*cm -2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_1_3 | MAPMT_1_3 | 0*cm 0*cm -1.275*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.075*cm  | 
Photocathode_MAPMT_1_3 | MAPMT_1_3 | 0*cm 0*cm -1.195*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005*cm  | 
  Socket_MAPMT_1_3 | MAPMT_1_3 | 0*cm 0*cm 1.215*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_1_4 |  RICH_s4 | -48.8563843*cm -5.3*cm 692.858482*cm | ordered: yzx 0*deg -90*deg 25*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_1_4 | MAPMT_1_4 | 2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_1_4 | MAPMT_1_4 | -2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_1_4 | MAPMT_1_4 | 0*cm 2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_1_4 | MAPMT_1_4 | 0*cm -2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
